,CONF,DEC,MASK_NUM,OII,OII_err,RA,bit_code,gmag,redz,rmag,zmag,mask_name
38,1,0.951733449109,0,7.59829931836,0.5906594601,11.8162512196,208,23.5622205416,1.0742,23.657978898,22.5394018294,st82-1hr
39,3,1.0236231659,0,19.7207586856,0.464322398633,11.8055023135,2032,22.9436318519,0.9441,22.8157520389,21.9311518012,st82-1hr
40,3,0.980594749502,0,5.69529894868,0.685285179548,11.8165357278,1792,22.2176243713,0.59745,21.4084656927,20.2580402419,st82-1hr
41,3,1.02773845395,0,11.0101436148,0.661777461094,11.8103891036,48,23.4641312137,1.0283,22.824398425,21.9752998045,st82-1hr
42,3,1.03313523155,0,14.227755846,0.452587165418,11.8117301096,1776,23.2517204414,0.9441,22.9111422689,22.2584672165,st82-1hr
43,3,0.957870069294,0,6.74661513666,0.190954995952,11.8277073952,1008,23.6297213978,1.27465,23.3634393983,22.2241589432,st82-1hr
44,-999,1.0595813048,0,0.0,-1.0,11.8130751927,1920,23.3788044503,-999.0,23.5120686184,22.9298897773,st82-1hr
45,3,0.998420751292,0,3.80322111448,0.475826651851,11.8273506144,1792,22.8054001777,1.0757,22.0839081231,21.236292153,st82-1hr
46,-999,0.950308159912,0,0.0,-1.0,11.8382437483,1792,23.466988313,-999.0,22.7753690158,21.4312816805,st82-1hr
47,3,1.06092180438,0,11.4243111577,0.243173317807,11.8217880747,880,23.6384430285,0.99485,23.1739506026,22.4373014933,st82-1hr
48,3,0.992676535498,0,20.1585341553,0.57988032789,11.8376836195,240,23.0947490771,0.76585,22.7377894393,21.8658800231,st82-1hr
