#Table1
#ra dec psfMag_u psfMag_g psfMag_r psfMag_i psfMag_z extinction_r propermotion angle run rerun camCol field obj objID
113.375282911224 27.1893286796865 20.89188 19.92394 19.58168 19.4729 19.67623 0.1021016 0 0 2825 301 5 30 494 1237657608565686766
115.97034786142 29.3732700246853 20.32345 19.28162 18.99279 18.89164 19.03172 0.08018865 0.7211103 56.30993 2825 301 4 51 510 1237657608030192126
115.776857070737 29.3505756464065 20.80707 19.87881 19.57086 19.48956 19.53043 0.082303 0.4472136 -26.56505 2825 301 4 50 524 1237657608030126604
114.352213681211 27.6583077855264 21.09541 20.11866 19.80992 19.66699 19.59575 0.08621081 0 0 2825 301 4 36 729 1237657608029209305
112.356957457063 25.2089857145148 20.75271 19.83609 19.50598 19.38083 19.30167 0.1233645 0 0 2825 301 4 16 526 1237657608027898382
116.232004803405 28.5444407591822 19.29619 18.30349 18.06154 17.98569 17.99329 0.07728745 0 0 2825 301 2 47 509 1237657606956188157
116.1052921772 28.2630278088127 19.73492 18.61074 18.263 18.11766 18.07583 0.08060589 0 0 2825 301 2 46 362 1237657606956122474
115.89152197829 28.0780415512626 20.79464 19.7143 19.41529 19.3379 19.35929 0.08944645 0.6 0 2825 301 2 44 459 1237657606955991499
113.880621746611 28.0646779469602 19.62319 18.56761 18.29168 18.19015 18.17619 0.09542739 0 0 2822 301 5 40 476 1237657595681440220
115.970716470222 29.7007534335975 19.56075 18.53577 18.25315 18.24549 18.12824 0.08933647 0 0 2822 301 4 56 503 1237657595145617911
115.391148536582 29.2151730696191 20.36038 19.29919 18.9442 18.87263 18.88294 0.08797731 0 0 2822 301 4 52 329 1237657595145355593
115.02264544205 28.739119749766 20.4213 19.3305 19.07396 18.97959 18.98402 0.08675075 0.8944272 153.435 2822 301 4 48 452 1237657595145093572
114.279832665965 27.8087943130363 20.06627 18.90808 18.59144 18.45366 18.44465 0.0934966 0 0 2822 301 4 40 595 1237657595144569427
114.805660414011 27.8800117455151 19.98993 18.95481 18.61187 18.58939 18.58612 0.09448719 0 0 2822 301 3 43 381 1237657594607894909
114.729236742452 27.7720541710206 20.26195 19.14234 18.84708 18.72921 18.63554 0.09677711 0 0 2822 301 3 42 383 1237657594607829375
114.430891677998 27.5690694844985 20.82955 19.85621 19.78838 19.4781 19.49579 0.09206108 0 0 2822 301 3 40 630 1237657594607698550
113.46379544273 26.2794964752905 20.29961 19.28124 18.97559 18.88429 18.77206 0.1219517 0 0 2822 301 3 29 729 1237657594606977753
117.569853939639 28.6691727440244 18.99328 17.56958 17.19802 17.06808 17.07159 0.08027261 0 0 2777 301 3 60 347 1237657401335480667
112.455452097062 27.3892414602416 19.47558 18.33619 18.01596 17.90229 17.90798 0.1154236 0 0 2137 301 3 56 459 1237654652556149195
122.075338962836 26.6988365247856 19.28773 18.30228 18.04027 17.93402 17.95091 0.07658335 0 0 3530 301 4 35 246 1237660635981086966
122.062169673057 26.7096203077009 19.82729 18.81355 18.58685 18.46868 18.53304 0.07647861 0 0 3530 301 4 35 242 1237660635981086962
122.106789725118 26.3110102732905 18.43231 17.5015 17.14334 16.99821 16.97365 0.07818316 0 0 3530 301 3 33 158 1237660635444084894
116.875287888932 25.8580745531321 20.55393 19.53771 19.22699 19.14335 19.10943 0.08603521 0 0 2864 301 3 50 435 1237657774996980147
118.606407487575 27.7586022043015 20.44334 19.4086 19.07536 18.93363 18.95633 0.07290514 0 0 2830 301 4 58 529 1237657629505487377
118.539731838012 27.6294001421599 20.77267 19.6875 19.37562 19.26417 19.18979 0.06444447 1.216553 -9.462322 2830 301 4 57 549 1237657629505421861
118.539316206056 27.6081938298243 19.11561 18.08991 17.84323 17.79025 17.76025 0.06401208 0 0 2830 301 4 57 534 1237657629505421846
113.970714380345 28.9871729606523 21.15448 20.07391 19.75357 19.57495 19.55629 0.1066319 0 0 2131 301 3 40 520 1237654626785296904
112.051739659956 27.0602999876213 20.73573 19.70026 19.41621 19.25467 19.1538 0.1117971 0 0 2131 301 4 23 738 1237654627321053922
113.256060696645 28.2861209701248 20.85558 19.80073 19.46221 19.30746 19.39719 0.08518922 0 0 2137 301 3 63 521 1237654652556608009
112.170004741993 28.2217082233773 19.24681 18.09055 17.78437 17.60002 17.56786 0.1144173 0.8485281 45 2137 301 5 59 612 1237654653630087780
115.097628383267 26.2713235520917 20.81775 19.80187 19.453 19.3449 19.23913 0.1003772 0 0 2711 301 4 39 612 1237657118403134052
116.707990882678 28.725475490943 19.99265 18.90869 18.70182 18.63444 18.56368 0.07540249 0.5656855 45 2711 301 5 58 374 1237657118941249910
116.226216614722 28.4730396153063 19.71651 18.60838 18.32104 18.20357 18.224 0.0835553 0.4 0 2825 301 2 47 444 1237657606956188092
116.673336381932 28.831576069276 20.73732 19.80974 19.45926 19.37971 19.51408 0.07394967 0 0 2825 301 2 51 277 1237657606956450069
116.608528402754 25.7203761073287 20.4073 19.27507 18.98384 18.85863 18.94935 0.08692548 0 0 2830 301 4 40 487 1237657629504307687
116.607534217476 26.5423557517455 20.23937 19.21411 18.95341 18.87535 18.825 0.07967124 1.16619 -30.96376 2830 301 5 44 507 1237657630041440763
124.040967616933 27.9417961393603 19.67938 18.70888 18.41459 18.34478 18.29168 0.07032062 0 0 3462 301 4 96 299 1237660343927308587
124.063676884801 28.1113963320342 20.93058 19.7703 19.46899 19.31968 19.17435 0.07157105 1.131371 45 3462 301 4 96 444 1237660343927308732
124.142390740724 27.0086406121683 19.44534 18.40812 18.15883 18.07228 18.08729 0.08313861 0.4 0 3605 301 5 107 226 1237660958645223650
124.062663850081 26.8887532341564 21.15284 20.17359 19.95023 19.83726 19.64949 0.08577077 0 0 3605 301 5 106 431 1237660958645158319
124.129713053963 26.8765236726415 20.08671 19.09263 18.7434 18.56458 18.51653 0.08685388 0 0 3605 301 5 106 330 1237660958645158218
124.018792118961 26.933147390391 21.32238 20.14202 19.82773 19.73924 19.71781 0.08287303 0 0 3605 301 5 106 285 1237660958645158173
124.04432675102 26.8655374520025 20.9219 19.9557 19.60644 19.53693 19.34592 0.08680151 0 0 3605 301 5 106 263 1237660958645158151
124.083455471145 26.7542961763092 19.77587 18.77207 18.54024 18.45059 18.38389 0.09149519 0 0 3605 301 5 106 241 1237660958645158129
124.076398734563 26.345901846375 19.95941 18.99105 18.71022 18.56937 18.56366 0.08418025 0 0 3605 301 4 104 383 1237660958108156287
124.022856721464 26.3980606492193 19.93818 18.89209 18.55957 18.47523 18.41448 0.08618046 0 0 3605 301 4 104 379 1237660958108156283
124.091214593015 26.2304269670483 20.42135 19.29911 19.02028 18.91025 18.85986 0.08027476 1.16619 -59.03624 3605 301 4 104 323 1237660958108156227
124.079787628398 26.2412826237531 21.00945 20.04276 19.71161 19.53073 19.4409 0.08011661 0 0 3605 301 4 104 321 1237660958108156225
124.061580936562 26.1958190784255 20.69678 19.83594 19.55221 19.37464 19.39548 0.07972257 0 0 3605 301 4 103 265 1237660958108090633
